,capacity,type,loc1,loc2,status
0,393,4,195,484,"[[39, 56], [100, 108], [135, 141], [209, 273], [303, 305], [308, 341], [361, 498]]"
1,701,2,687,434,"[[164, 172], [216, 268], [322, 326], [339, 359], [375, 481]]"
2,469,1,108,171,"[[116, 151], [262, 335]]"
3,669,2,277,280,"[[1, 109], [118, 144], [253, 307], [311, 347], [376, 469]]"
4,774,2,206,483,"[[1, 11], [25, 29], [188, 220], [258, 262], [280, 298], [303, 318], [340, 341], [393, 491]]"
5,84,0,596,283,"[[54, 474]]"
6,971,0,220,733,"[[42, 57], [150, 188], [218, 257], [268, 346], [351, 474]]"
7,695,2,575,833,"[[6, 24], [55, 77], [96, 104], [111, 173], [225, 234], [288, 319], [471, 480]]"
8,376,1,741,496,"[[66, 67], [75, 81], [90, 92], [113, 127], [138, 242], [261, 267], [338, 348], [364, 420], [479, 482]]"
9,905,2,830,140,"[[37, 85], [222, 237], [412, 414]]"
10,521,3,487,631,[]
11,153,2,758,403,"[[20, 296]]"
12,625,0,812,618,"[[36, 39], [163, 221], [259, 338], [365, 377], [420, 468]]"
13,524,4,198,866,"[[29, 127], [129, 205], [269, 349], [396, 441], [455, 461]]"
14,961,1,411,811,"[[193, 348], [360, 399]]"
15,290,3,954,516,"[[245, 323], [396, 435], [449, 495]]"
16,139,0,270,397,"[[63, 117], [414, 425]]"
17,864,2,226,522,"[[115, 151], [420, 474]]"
18,620,1,742,875,"[[56, 76], [81, 98], [210, 225], [381, 415]]"
19,203,0,293,592,"[[17, 38], [61, 97], [111, 211], [237, 283], [351, 361], [375, 406]]"
20,801,2,856,141,"[[65, 69], [84, 115], [136, 250], [262, 307], [343, 405]]"
21,172,2,460,67,"[[450, 478]]"
22,827,4,418,200,"[[5, 42], [157, 228], [349, 382]]"
23,297,1,188,823,[]
24,347,0,301,607,[]
25,339,2,943,318,"[[37, 64], [103, 171], [192, 200], [230, 272], [339, 341], [351, 356], [357, 385], [439, 461], [464, 481]]"
26,672,0,634,9,"[[43, 229]]"
27,457,0,151,671,"[[10, 16], [31, 68], [150, 188], [270, 463]]"
28,449,1,367,131,"[[45, 341]]"
29,402,2,325,792,"[[11, 22], [378, 486]]"
30,837,1,353,888,"[[84, 124], [152, 244], [255, 286], [296, 388]]"
31,97,0,87,530,"[[198, 239]]"
32,666,3,876,459,"[[331, 368], [440, 499]]"
33,856,4,689,975,"[[4, 43], [64, 96], [111, 150], [160, 245], [258, 269], [283, 286], [334, 372], [381, 476]]"
34,994,0,110,224,"[[48, 61], [71, 166], [171, 184], [185, 221], [224, 231], [274, 301], [367, 369], [381, 497]]"
35,59,1,821,367,"[[29, 121], [170, 196], [224, 367]]"
36,799,0,498,624,"[[67, 164], [376, 381], [412, 413], [439, 499]]"
37,470,0,428,617,"[[378, 467]]"
38,657,4,181,489,"[[8, 115], [143, 190], [326, 366]]"
39,766,3,523,720,"[[358, 453]]"
40,260,2,105,448,"[[49, 67], [144, 235]]"
41,154,0,75,300,"[[4, 23], [54, 71], [97, 136], [166, 198], [284, 286], [299, 326], [371, 377], [380, 417], [452, 468]]"
42,392,0,632,474,"[[109, 419]]"
43,463,4,821,227,"[[25, 67], [106, 109], [110, 174], [199, 200], [312, 361], [366, 406], [416, 430]]"
44,106,4,425,509,"[[218, 278], [387, 494]]"
45,320,1,683,938,"[[3, 27], [42, 133], [136, 163], [187, 198], [212, 292], [346, 373], [422, 442], [492, 494]]"
46,785,3,63,21,"[[55, 131], [153, 269], [311, 319], [358, 431], [435, 455]]"
47,98,0,961,978,"[[50, 76], [87, 265], [377, 400]]"
48,167,3,591,768,"[[2, 22], [23, 40], [42, 98], [180, 292], [340, 360], [404, 472]]"
49,841,3,198,881,"[[161, 242], [263, 266], [272, 320], [339, 399], [406, 411], [426, 436], [453, 458]]"
50,277,3,814,281,[]
51,374,2,653,123,"[[365, 416], [431, 471]]"
52,405,0,694,129,"[[27, 116], [206, 223], [274, 319], [379, 442]]"
53,393,3,333,850,"[[57, 63], [159, 239], [279, 432]]"
54,504,2,475,305,"[[57, 64], [272, 301], [305, 315], [398, 448]]"
55,791,0,483,183,"[[18, 20], [155, 234], [249, 322], [416, 490]]"
56,75,2,144,992,"[[7, 28], [422, 453]]"
57,286,4,229,820,"[[15, 16], [17, 54], [65, 69], [74, 96], [101, 198], [210, 339], [363, 389], [402, 454], [458, 468]]"
58,258,0,504,464,"[[26, 207], [254, 293]]"
59,152,4,627,719,"[[37, 113], [131, 159], [221, 248], [268, 276], [331, 344], [346, 391], [402, 412], [464, 468]]"
60,482,3,442,525,"[[44, 53], [70, 92], [106, 119], [193, 272], [296, 298], [320, 350], [353, 358]]"
61,257,1,891,957,"[[7, 37], [79, 154], [207, 367], [399, 400]]"
