,operation_id,time_cost,money_cost,plant_list
0,0,80,193,"[17, 29, 51, 107, 146, 153, 166, 176, 179, 188, 189, 197]"
1,1,74,174,"[7, 15, 22, 28, 48, 103, 107, 121, 127, 138, 163, 173, 186, 190]"
2,2,45,151,"[33, 106, 111, 122, 150, 181, 194]"
3,3,33,166,"[9, 18, 22, 23, 42, 51, 54, 64, 72, 89, 136, 142, 154, 170, 179]"
4,4,31,111,"[15, 32, 44, 50, 65, 83, 91, 99, 103, 115, 127, 135, 184, 197]"
5,5,91,178,"[18, 46, 72, 77, 108, 131, 147, 173, 189]"
6,6,26,156,"[33, 68, 70, 141, 149, 166, 171, 173, 179, 186, 189, 197]"
7,7,89,163,"[2, 27, 40, 49, 100]"
8,8,96,160,"[0, 11, 16, 24, 40, 50, 60, 64, 69, 86, 109, 124, 149, 161, 171]"
9,9,59,141,"[10, 12, 14, 24, 28, 61, 64, 65, 80, 86, 95, 144, 176, 197, 199]"
10,10,96,161,"[22, 50, 54, 65, 80, 99, 136, 141, 159, 162, 178, 180, 181]"
11,11,34,199,"[4, 21, 58, 67, 93, 97, 104, 117, 160, 177, 181, 199]"
12,12,98,157,"[26, 30, 38, 50, 114, 124, 128, 148]"
13,13,49,129,"[4, 31, 32, 77, 88, 94, 96, 104, 115, 124, 132, 144, 155, 171, 181]"
14,14,85,100,"[12, 85, 110, 111, 166, 181]"
15,15,53,139,"[33, 67, 71, 84, 95, 108, 120, 138, 143, 196]"
16,16,77,125,"[5, 10, 16, 44, 61, 62, 66, 102, 166, 187]"
17,17,83,178,"[2, 17, 36, 40, 52, 67, 79, 111, 126, 148, 153, 182]"
18,18,27,120,"[4, 8, 37, 48, 70, 76, 102, 121, 125, 139, 140, 142, 177, 197]"
19,19,82,118,"[0, 16, 40, 57, 76, 94, 100, 122, 131, 135, 140, 145, 150, 181, 198]"
20,20,57,110,"[41, 93, 134, 154, 175, 186]"
21,21,68,168,"[25, 29, 33, 54, 166]"
22,22,95,196,"[20, 29, 34, 38, 74, 81, 95, 122, 157, 174, 186, 188]"
23,23,70,188,"[8, 55, 75, 85, 91, 103, 131, 136]"
24,24,44,118,"[71, 74, 100, 109, 133, 136, 139, 164, 168, 171]"
25,25,87,164,"[27, 55, 77, 93, 130, 139, 141, 146, 149, 153, 170, 183]"
26,26,75,181,"[8, 47, 48, 78, 82, 93, 107, 151, 195]"
27,27,22,155,"[6, 15, 25, 36, 46, 68, 70, 91, 170, 177]"
28,28,89,155,"[10, 12, 16, 37, 54, 79, 83, 93, 133, 141, 144, 163, 168, 172, 183]"
29,29,28,103,"[91, 111, 112, 117, 125, 148, 155, 199]"
30,30,96,173,"[2, 14, 31, 38, 50, 52, 77, 87, 112, 116, 121, 130, 135, 148, 198]"
31,31,35,128,"[20, 46, 58, 67, 106, 167]"
32,32,82,115,"[54, 72, 132, 137, 163, 168, 189]"
33,33,68,133,"[28, 89, 95, 124, 165, 171]"
34,34,82,136,"[6, 19, 28, 31, 51, 63, 69, 77, 108, 117]"
35,35,27,122,"[16, 49, 87, 132, 158, 165, 171, 184, 193]"
36,36,38,173,"[13, 23, 24, 55, 99, 124, 140, 152, 156, 171, 182]"
37,37,64,146,"[7, 19, 22, 23, 45, 46, 67, 92, 100, 126, 169, 173]"
38,38,96,110,"[11, 29, 56, 63, 68, 128, 153, 160, 164, 177]"
39,39,40,132,"[38, 45, 113, 154, 194]"
40,40,46,171,"[10, 17, 18, 126, 153, 154, 163, 167, 189]"
41,41,71,144,"[7, 20, 24, 32, 34, 36, 38, 81, 113, 119, 132, 138, 184, 199]"
42,42,24,177,"[9, 12, 86, 105, 108, 111, 157, 178, 187, 193]"
43,43,39,139,"[20, 74, 79, 86, 97, 112, 150, 158, 175, 197]"
44,44,45,146,"[53, 67, 73, 85, 89, 121, 142, 156, 168, 189, 193]"
45,45,23,127,"[28, 32, 83, 87, 144, 178, 189]"
46,46,78,111,"[4, 6, 13, 80, 94, 152, 158, 160, 185, 192, 194]"
47,47,85,169,"[18, 70, 97, 99, 102, 103, 122, 135, 136, 149, 172, 183, 199]"
48,48,28,169,"[2, 11, 17, 22, 25, 80, 96, 99, 126]"
49,49,87,100,"[3, 19, 39, 40, 51, 60, 93, 98, 105, 116, 136, 156, 188, 195]"
