,plant_id,plant_name,capacity,process_list,processing_rate,loc1,loc2
0,0,Watts-Wood,230,[],1,631,670
1,1,Marshall Inc,301,[],2,226,945
2,2,Brown Inc,348,[],6,553,389
3,3,"Fernandez, Boyd and Palmer",507,[],1,746,765
4,4,Johnson-Brock,662,[],9,710,637
5,5,"Mcdowell, Graves and Shaw",295,[],9,565,296
6,6,"Reed, Spence and Harris",889,[],9,13,448
7,7,"Diaz, Andersen and Cooper",451,[],3,132,631
8,8,"Benson, Anderson and Jackson",442,[],5,400,372
9,9,Hull Inc,600,[],10,32,53
10,10,Baker-Parker,446,[],6,248,545
11,11,Stout Inc,392,[],7,781,31
12,12,"Blankenship, Howell and Howell",313,[],6,18,868
13,13,Oliver-Mann,758,[],2,499,582
14,14,Nichols-Baker,864,[],1,693,469
15,15,King-Oneal,430,[],3,55,396
16,16,"Prince, Watts and Norton",528,[],2,881,594
17,17,Smith-Porter,260,[],8,7,727
18,18,Parker-Higgins,396,[],10,541,675
19,19,"Vance, Pierce and Parker",438,[],9,705,642
20,20,"Wilson, Mitchell and Ochoa",242,[],4,111,659
21,21,"Sanders, Miller and Manning",857,[],3,11,625
22,22,"Miranda, James and Thompson",889,[],2,371,177
23,23,Johnson and Sons,631,[],5,535,522
24,24,Mccann Inc,651,[],7,542,977
25,25,Arnold-Carlson,330,[],9,453,779
26,26,Lowery Ltd,961,[],10,768,236
27,27,Davis PLC,849,[],9,623,25
28,28,"Gallegos, Morrow and Zimmerman",656,[],10,679,449
29,29,Rogers Ltd,604,[],2,295,638
30,30,Lowe-Mcintyre,608,[],9,349,525
31,31,Logan PLC,267,[],7,362,7
32,32,Nelson-Mejia,321,[],8,709,155
33,33,Jackson-Knight,214,[],4,173,210
34,34,"Pena, Liu and Hayes",336,[],5,875,751
35,35,Guerra PLC,766,[],3,183,255
36,36,"Reed, Johnson and Mitchell",395,[],5,940,466
37,37,Trevino-Garcia,797,[],1,576,45
38,38,Duncan Ltd,463,[],1,67,173
39,39,Johnson-Moore,233,[],9,10,144
40,40,"Hendricks, Price and Lewis",397,[],7,951,993
41,41,Mooney-Taylor,216,[],8,679,59
42,42,"Marshall, English and Campbell",829,[],9,397,329
43,43,Dudley-Hudson,624,[],4,230,604
44,44,Baker-Robertson,260,[],9,55,535
45,45,Norman Ltd,395,[],8,814,189
46,46,"Hall, Woods and Sanchez",587,[],8,760,233
47,47,Rowe and Sons,203,[],9,336,213
48,48,Sutton-Berger,816,[],5,788,805
49,49,Miller PLC,953,[],7,992,143
50,50,Bridges-Hernandez,778,[],4,468,206
51,51,Crawford PLC,282,[],9,193,352
52,52,Flores-Harris,871,[],2,579,385
53,53,"Russell, Gonzalez and Brown",928,[],4,712,427
54,54,Davenport-Ward,743,[],5,574,505
55,55,Moss-Holt,200,[],2,401,561
56,56,Baird and Sons,902,[],4,766,303
57,57,Petersen-Zhang,811,[],1,524,652
58,58,"Sanders, Porter and Ingram",896,[],2,207,496
59,59,Daniels-Jackson,339,[],10,5,721
60,60,Olson-Paul,229,[],5,459,66
61,61,Becker Group,953,[],5,899,76
62,62,"Williams, Lynn and Fernandez",236,[],9,396,236
63,63,Clark Ltd,293,[],9,776,148
64,64,Kline LLC,724,[],7,500,710
65,65,"Young, Hill and Hancock",650,[],8,984,286
66,66,Luna-Harper,291,[],5,864,706
67,67,Pearson-Schmitt,703,[],1,26,103
68,68,Douglas-Franklin,982,[],4,571,656
69,69,Peterson Inc,222,[],1,555,181
70,70,Stone Group,778,[],2,718,444
71,71,Hall Ltd,464,[],8,939,897
72,72,Barber and Sons,528,[],8,762,7
73,73,Martinez Ltd,205,[],6,392,322
74,74,"Nelson, Henderson and Holland",233,[],9,918,729
75,75,Dixon-Freeman,476,[],2,888,163
76,76,Evans-Duke,294,[],7,137,491
77,77,Estrada-Garcia,926,[],4,339,534
78,78,"Miller, Clay and Griffin",663,[],8,182,670
